GO_ID,x,y
GO:0001958,-0.378017,-0.50428
GO:0001959,-0.35158,-0.494815
GO:0001960,-0.363412,-0.485995
GO:0001961,-0.351382,-0.500697
GO:0001962,-0.358058,-0.463776
GO:0001963,-0.373728,-0.504881
GO:0001964,-0.378603,-0.501251
GO:0001965,-0.368301,-0.504186
GO:0001966,-0.376165,-0.498922
GO:0001967,-0.375055,-0.495585
GO:0001968,-0.368817,-0.500615
GO:0001969,-0.345081,-0.483186
GO:0001970,-0.365562,-0.484364
GO:0001971,-0.369244,-0.480274
GO:0001972,-0.348361,-0.481654
GO:0001973,-0.36492,-0.498375
GO:0001974,-0.378527,-0.501476
GO:0001975,-0.372545,-0.489506
GO:0001976,-0.375951,-0.487208
GO:0001977,-0.357731,-0.471923
GO:0001980,-0.362548,-0.483281
GO:0001984,-0.366749,-0.46794
GO:0001985,-0.374706,-0.462544
GO:0001988,-0.371093,-0.505607
GO:0001990,-0.36404,-0.466723
GO:0001991,-0.372975,-0.475839
GO:0001992,-0.372299,-0.475691
GO:0001994,-0.366771,-0.490927
GO:0001996,-0.362683,-0.489173
GO:0001997,-0.365252,-0.496398
GO:0001998,-0.353882,-0.476498
GO:0002001,-0.371789,-0.478093
GO:0002002,-0.371752,-0.479607
GO:0002003,-0.358318,-0.488568
GO:0002007,-0.374693,-0.463098
GO:0002009,-0.380372,-0.511726
GO:0002011,-0.37744,-0.501857
GO:0002014,-0.367904,-0.472275
GO:0002016,-0.371737,-0.488763
GO:0002017,-0.363575,-0.493942
GO:0002018,-0.356365,-0.483038
GO:0002019,-0.338406,-0.484594
GO:0002020,-0.361558,-0.503875
GO:0002021,-0.371431,-0.491709
GO:0002023,-0.374011,-0.475924
GO:0002024,-0.35961,-0.486352
GO:0002025,-0.360365,-0.488136
GO:0002026,-0.371749,-0.489724
GO:0002027,-0.376427,-0.488378
GO:0002028,-0.376643,-0.497318
GO:0002029,-0.368322,-0.503789
GO:0002031,-0.36829,-0.503077
GO:0002033,-0.354707,-0.478939
GO:0002034,-0.369428,-0.491284
GO:0002035,-0.375955,-0.480035
GO:0002036,-0.347384,-0.486264
GO:0002037,-0.371014,-0.465391
GO:0002038,-0.362287,-0.497112
GO:0002039,-0.372146,-0.507962
GO:0002040,-0.379376,-0.510309
GO:0002041,-0.363401,-0.473842
GO:0002042,-0.376249,-0.508112
GO:0002043,-0.37604,-0.504908
GO:0002046,-0.371635,-0.499268
GO:0002051,-0.357251,-0.478389
GO:0002052,-0.381892,-0.497585
GO:0002053,-0.380798,-0.511995
GO:0002054,-0.368962,-0.475234
GO:0002055,-0.362387,-0.468497
GO:0002058,-0.354934,-0.461308
GO:0002060,-0.349785,-0.482126
GO:0002061,-0.348264,-0.479435
GO:0002062,-0.379087,-0.505919
GO:0002063,-0.379459,-0.505432
GO:0002064,-0.36775,-0.490174
GO:0002065,-0.366567,-0.470295
GO:0002066,-0.369234,-0.474414
GO:0002067,-0.375892,-0.49207
GO:0002068,-0.374584,-0.471536
GO:0002069,-0.3433,-0.481095
GO:0002070,-0.366094,-0.493968
GO:0002071,-0.374621,-0.483749
GO:0002072,-0.376246,-0.502164
GO:0002074,-0.380765,-0.500901
GO:0002076,-0.380028,-0.505357
GO:0002077,-0.365243,-0.480798
